lr,step,time,train_loss,train_metric,val_loss,val_metric
0.0100,500.0,1925.8928,-0.9335,,-0.9410,
0.0100,1000.0,1939.6715,-0.9360,,-0.9348,
0.0100,1500.0,1933.4968,-0.9371,,-0.9397,
0.0100,2000.0,1928.2279,-0.9373,,-0.9407,
0.0100,2500.0,1929.1004,-0.9396,,-0.9415,
0.0050,3000.0,1929.2749,-0.9397,,-0.9439,
0.0050,3500.0,1928.8330,-0.9428,,-0.9464,
0.0050,4000.0,1928.7428,-0.9430,,-0.9447,
0.0050,4500.0,1928.7853,-0.9440,,-0.9467,
0.0050,5000.0,1929.9557,-0.9444,,-0.9468,
0.0050,5500.0,1927.7880,-0.9453,,-0.9474,
0.0050,6000.0,1930.9577,-0.9454,,-0.9478,
0.0050,6500.0,1930.4411,-0.9454,,-0.9476,
0.0050,7000.0,1930.8920,-0.9464,,-0.9483,
0.0050,7500.0,1930.3901,-0.9464,,-0.9488,
0.0025,8000.0,1929.8088,-0.9463,,-0.9486,
0.0025,8500.0,1930.0230,-0.9479,,-0.9498,
0.0025,9000.0,1929.4830,-0.9482,,-0.9496,
0.0025,9500.0,1930.3206,-0.9482,,-0.9499,
0.0025,10000.0,1930.3106,-0.9482,,-0.9496,
0.0025,10500.0,1930.2123,-0.9488,,-0.9504,
0.0013,11000.0,1930.8529,-0.9491,,-0.9503,
0.0013,11500.0,1930.6331,-0.9492,,-0.9509,
0.0013,12000.0,1930.6879,-0.9496,,-0.9510,
0.0013,12500.0,1930.3722,-0.9497,,-0.9510,
0.0013,13000.0,1930.3209,-0.9500,,-0.9511,
0.0013,13500.0,1931.6740,-0.9495,,-0.9512,
0.0006,14000.0,1930.6392,-0.9498,,-0.9512,
0.0006,14500.0,1929.4592,-0.9499,,-0.9514,
0.0006,15000.0,1931.3140,-0.9500,,-0.9514,
0.0006,15500.0,1927.4071,-0.9503,,-0.9516,
0.0006,16000.0,1930.6730,-0.9500,,-0.9515,
0.0006,16500.0,1929.1480,-0.9504,,-0.9516,
0.0006,17000.0,1929.7899,-0.9503,,-0.9515,
0.0006,17500.0,1929.1143,-0.9500,,-0.9516,
0.0003,18000.0,1930.1216,-0.9505,,-0.9516,
0.0003,18500.0,1930.2281,-0.9506,,-0.9518,
0.0003,19000.0,1929.2111,-0.9510,,-0.9518,
0.0003,19500.0,1931.5543,-0.9507,,-0.9517,
0.0003,20000.0,1929.7635,-0.9503,,-0.9517,
0.0003,20500.0,1929.9468,-0.9511,,-0.9518,
0.0002,21000.0,1930.8142,-0.9507,,-0.9518,
0.0002,21500.0,1930.9511,-0.9503,,-0.9518,
0.0002,22000.0,1929.9591,-0.9509,,-0.9519,
0.0002,22500.0,1929.0139,-0.9505,,-0.9518,
0.0002,23000.0,1931.0638,-0.9505,,-0.9518,
0.0002,23500.0,1929.6394,-0.9509,,-0.9518,
0.0001,24000.0,1929.2728,-0.9510,,-0.9518,
0.0001,24500.0,1929.1135,-0.9509,,-0.9518,
0.0001,25000.0,1928.9264,-0.9506,,-0.9519,
0.0001,25500.0,1928.3826,-0.9510,,-0.9518,
0.0001,26000.0,1928.2300,-0.9510,,-0.9518,
0.0001,26500.0,1928.4135,-0.9510,,-0.9519,
0.0000,27000.0,1929.2536,-0.9505,,-0.9519,
